,beer_id,beer_name,brewery_id,brewery_name,cat_id,cat_name,styleId,style_name,abv,address1,address2,city,state,code,country,phone,website,January_22,February_22,March_22,April_22,May_22,June_22,July_22,August_22,September_22,October_22,November_22,December_22
47,48,Zinnebir Xmas,176,Brasserie de la Senne,22,,22B,Unclassified,6.6,Victor Nonnemansstraat 40a,,Sint-Pieters-Leeuw,Vlaams Brabant,,Belgium,32-0497-/-93.23.75,,519.92,527.36,193.81,720.69,181.13,590.23,914.19,594.71,770.92,711.53,681.59,279.05
48,49,Bridal Ale 2005,974,Pelican Pub & Brewery,22,,22B,Unclassified,0,33180 Cape Kiwanda Drive,,Pacific City,Oregon,97135,United States,1-503-965-7007,http://www.pelicanbrewery.com/,620.2,127.68,685.96,332.45,570.32,49.01,544.59,559.66,756.58,92.33,291.48,3.24
49,50,Zinnebir,176,Brasserie de la Senne,18,Pale American Ale,18B,American Pale Ale,0,Victor Nonnemansstraat 40a,,Sint-Pieters-Leeuw,Vlaams Brabant,,Belgium,32-0497-/-93.23.75,,767.36,1405.97,64.72,352.79,193.62,165.64,273.83,928.48,1244.22,1076.1,940.36,461.56
50,51,Saison Imperiale,432,De Proef Brouwerij,25,Strong Belgian Ale,25B,Saison,8.5,Doornzelestraat 20,,Lochristi-Hijfte,Oost-Vlaanderen,,Belgium,32-09-/-356.71.02,,8.85,23.27,32.45,18.53,6.77,26.38,33.12,3.22,6.95,19.76,22.61,27.01
51,52,La Moneuse,170,Brasserie de Blaugies,22,,22B,Unclassified,8,"Rue de la Frontire, 435",,Blaugies,Hainaut,,Belgium,32-065-65-03-60,,1011.62,176.57,1953.96,393.47,1102.18,555.02,1273.6,689.89,558.32,1476.13,541.04,1054.79
52,53,Red Sled Winter Ale,901,Nebraska Brewing Company,30,Spiced Beer,30C,Winter Seasonal Beer,0,7474 Towne Center Parkway #101,,Papillion,Nebraska,68046,United States,1-402-934-7100,,534.16,140.31,943.41,793.29,771.06,920.71,1005.68,964.73,472.55,853.62,6.94,570.64
53,54,Christmas Ale 2007,39,Anchor Brewing,30,Spiced Beer,30C,Winter Seasonal Beer,0,1705 Mariposa Street,,San Francisco,California,94107,United States,1-415-863-8350,,296.87,264.74,177.79,4.59,121,366.74,380.94,106.34,30.37,32.52,29.78,216.93
54,55,Equinox Dark Belgian Winter,176,Brasserie de la Senne,30,Spiced Beer,30C,Winter Seasonal Beer,8,Victor Nonnemansstraat 40a,,Sint-Pieters-Leeuw,Vlaams Brabant,,Belgium,32-0497-/-93.23.75,,717.51,278.5,196.91,163.76,1685.64,1377.18,971.64,844.78,514.59,254.31,1367.26,885.69
55,56,Serafijn Christmas Angel,856,Microbrouwerij Achilles,30,Spiced Beer,30C,Winter Seasonal Beer,8,Dulft 9A,,Itegem,Antwerpen,,Belgium,,,269.39,154.12,316.86,217.04,138.3,15.49,343.26,338.68,175.72,186.65,20.48,185.5
56,57,Obovoid Empirical Stout,160,Boulder Beer Company,20,American Porter and Stout,20B,American Stout,8,2880 Wilderness Place,,Boulder,Colorado,80301,United States,1-303-444-8448,http://boulderbeer.com/,579.82,587.54,652.27,145.51,62.39,759.13,579.64,374.71,292.33,173.5,269.04,748.54
57,58,Furious Beer,1221,Surly Brewing,21,IPA,21A,American IPA,6,4811 Dusharme Drive,,Brooklyn Center,Minnesota,55429,United States,1-763-535-3330,http://www.surlybrewing.com/,260.8,261.84,919.21,452.2,560.44,401.18,726.68,871.63,250.45,632.64,283.64,398
58,59,Bender Beer,1221,Surly Brewing,19,Amber and Brown American Beer,19C,American Brown Ale,5.1,4811 Dusharme Drive,,Brooklyn Center,Minnesota,55429,United States,1-763-535-3330,http://www.surlybrewing.com/,49.05,36.33,84.16,12.22,78.62,18.33,15.95,18.15,0.39,91.41,34.41,32.91
59,60,Oak Aged Ebenezer,1315,Upstream Brewing Company at Legacy,22,,22B,Unclassified,9.4,17070 Wright Plaza,,Omaha,Nebraska,68130,United States,1-402-778-0100,,358.95,170.28,32.36,751.23,673.97,782.06,785.63,781.1,256.5,778.93,463.64,337.76
60,61,Killer Penguin,160,Boulder Beer Company,22,Strong American Ale,22C,American Barleywine,10,2880 Wilderness Place,,Boulder,Colorado,80301,United States,1-303-444-8448,http://boulderbeer.com/,233.46,179.48,54.87,199.05,103.69,144.83,253.94,16.75,193.52,196.87,1.48,154.53
61,62,Oatmeal Stout,236,Breckenridge Brewery,22,Strong American Ale,22B,American-Style Stout,0,471 Kalamath Street,,Denver,Colorado,80204,United States,303-623-2739,http://www.breckbrew.com/,28.15,79.68,81.79,96.56,17.62,13.03,24.36,90.8,43.28,55.53,37.36,92.74
62,63,Isolation Ale,935,Odell Brewing,30,Spiced Beer,30C,Winter Seasonal Beer,6,800 East Lincoln Avenue,,Fort Collins,Colorado,80524,United States,1-888-887-2797,,1090.28,847.52,1121.14,1073.42,779.36,965.36,1038.41,633.23,343.3,850.77,4.34,893.2
63,64,Festive Ale 2007,501,Empyrean Brewing Company,22,,22B,Unclassified,0,729 Q Street,,Lincoln,Nebraska,68508,United States,1-402-434-5959,,902.71,960.96,1258.56,773.13,110.16,394.59,860.61,1022.06,664.57,666.55,1479.41,717.14
64,65,Bourbon County Stout 2007,586,Goose Island Beer Company - Fulton Street,22,,22B,Unclassified,13,1800 West Fulton Street,,Chicago,Illinois,60612,United States,1-800-466-7363,,351.67,931.37,1141.99,463.95,190.06,694.54,873.71,670.67,735.3,841.44,1115.53,202.81
65,66,Twelve Days,670,Hook Norton Brewery,22,Strong American Ale,22B,American-Style Stout,5.5,Brewery Lane,,Hook Norton,Oxford,,United Kingdom,44-(01608)-730384,,201.84,3283.12,3495.23,2859.71,2896.11,3105.55,4046.06,360.59,932.95,715.94,2594.03,182.6
66,67,Seriously Bad Elf,1056,Ridgeway Brewing,22,,22B,Unclassified,9,6 Chapel Close,,South Stoke,Oxford,,United Kingdom,44-(01491)-873474,,496.85,855.53,716.37,170.37,123.91,368.91,1033.39,1074.97,294.73,330.96,38.46,925.87
67,68,Big Shot Seasonal Ale,905,New Belgium Brewing,13,Brown British Beer,13C,English Porter,0,500 Linden Street,,Fort Collins,Colorado,80524,United States,1-888-622-4044,http://www.newbelgium.com/,41.74,327.89,384.06,116.13,405.75,88.05,524.45,398.23,245.74,274.4,118.96,169.36
68,69,God Jul - Winter Ale,923,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,22,Strong American Ale,22B,American-Style Stout,8.5,Gamle Rygene Kraftstasjon,,Grimstad,Lunde,,Norway,47-37-25-74-00,http://nogne-o.com/,1888.92,73.4,484.13,1054.11,555.37,1104.16,575.5,611.23,573.24,1548.28,188.48,402.87
69,70,Harvest Ale 2007,1142,Sierra Nevada Brewing Co.,18,Pale American Ale,18B,American Pale Ale,6.7,1075 East 20th Street,,Chico,California,95928,United States,1-530-893-3520,http://www.sierranevada.com/,16.19,74,101.4,89.05,1.82,108.16,75.9,113.24,95.63,95.27,114.67,106.98
70,71,Nut Cracker Ale,161,Boulevard Brewing Company,30,Spiced Beer,30C,Winter Seasonal Beer,5.9,2501 Southwest Boulevard,,Kansas City,Missouri,64108,United States,1-816-474-7095,http://www.blvdbeer.com/,596.86,637.69,551.94,824.28,857.07,862.31,144.6,620.1,476.31,685.19,545.57,149.63
71,72,Goosinator Smoked Doppelbock 2007,779,Left Hand Brewing Company,1,Standard American Beer,01B,American Lager,0,1265 Boston Avenue,,Longmont,Colorado,80501,United States,1-303-772-0258,http://www.lefthandbrewing.com/,95.05,556.63,478.67,547.68,264.88,408.35,414.09,156.59,203.43,193.18,526.93,626.3
72,73,Snow Bound Winter Ale,779,Left Hand Brewing Company,22,,22B,Unclassified,8.6,1265 Boston Avenue,,Longmont,Colorado,80501,United States,1-303-772-0258,http://www.lefthandbrewing.com/,91.65,46.7,44.79,119.96,92.19,131.99,162.85,204.18,186.46,96.29,4.85,57.97
73,74,Warrior IPA,779,Left Hand Brewing Company,21,IPA,21A,American IPA,6.6,1265 Boston Avenue,,Longmont,Colorado,80501,United States,1-303-772-0258,http://www.lefthandbrewing.com/,539.66,636.69,523.98,386.57,208.36,466.56,407.19,396.12,344.37,580.38,294.43,246.51
74,75,Petrus Oud Bruin,266,Brouwerij Bavik - De Brabandere,23,European Sour Ale,23C,Oud Bruin,5.5,Rijksweg 33,,Bavikhove,West-Vlaanderen,,Belgium,32-56-71-13-79,,247.33,9.77,69.79,166.82,237.21,179.41,86.23,181.21,238.13,310.61,99.66,195.91
75,76,Petrus Gouden Tripel Ale,266,Brouwerij Bavik - De Brabandere,26,Trappist Ale,26C,Belgian Tripel,7.5,Rijksweg 33,,Bavikhove,West-Vlaanderen,,Belgium,32-56-71-13-79,,245.79,218.59,241.84,270.37,121.57,249.16,168.37,3.16,194.6,62.56,83.25,180.41
76,77,Petrus Blond Ale,266,Brouwerij Bavik - De Brabandere,25,Strong Belgian Ale,25A,Belgian Blond Ale,6.6,Rijksweg 33,,Bavikhove,West-Vlaanderen,,Belgium,32-56-71-13-79,,131.04,324.22,363.65,358.69,373.73,315.45,236.05,289.47,324.82,142.02,136.85,387.57
77,78,Petrus Dubbel Bruin Ale,266,Brouwerij Bavik - De Brabandere,26,Trappist Ale,26B,Belgian Dubbel,6.5,Rijksweg 33,,Bavikhove,West-Vlaanderen,,Belgium,32-56-71-13-79,,326.61,79.82,100.68,229.52,37.52,792.62,664.54,969.49,871.17,1022.12,681.62,60.23
78,79,Petrus Speciale,266,Brouwerij Bavik - De Brabandere,18,Pale American Ale,18B,American Pale Ale,5.5,Rijksweg 33,,Bavikhove,West-Vlaanderen,,Belgium,32-56-71-13-79,,522.38,706.17,227.18,534.66,647.51,435.34,319.21,177.97,78.55,604.36,53.96,496.46
79,80,Weizengold Hefefein,1202,Stieglbrauerei zu Salzburg GmbH,10,German Wheat Beer,10A,Weissbier,5.1,KendlerstraÃŸe 1,,Salzburg,,,Austria,43-0-662-/-83-87-0,http://www.stieglbrauerei.at/,3644.5,3345.99,1854.84,4225.87,1193.07,3116.62,1975.55,4171.36,1574.92,995.97,644.49,4546.54
80,81,Never Summer Ale,160,Boulder Beer Company,30,Spiced Beer,30C,Winter Seasonal Beer,5.9,2880 Wilderness Place,,Boulder,Colorado,80301,United States,1-303-444-8448,http://boulderbeer.com/,38.96,5,19.94,46.62,24.99,25.58,46.32,21.67,40.66,30.54,11.14,37.94
81,82,Modern Monks Belgian Blonde,1264,Thunderhead Brewery #2,18,Pale American Ale,18B,American Pale Ale,0,120 East Third Street,,Grand Island,Nebraska,68801,United States,1-308-398-2500,,1679.04,160.68,221.82,129.64,1082.45,204.92,1084.82,1369.2,293.04,1246.81,440.06,1325.89
82,83,Grand Cru,1264,Thunderhead Brewery #2,25,Strong Belgian Ale,25C,Belgian Golden Strong Ale,0,120 East Third Street,,Grand Island,Nebraska,68801,United States,1-308-398-2500,,215.21,176.78,208.28,99.53,280.93,352.39,158.11,54.48,290.54,212.34,283.38,297.13
83,84,J?_rger Wei??e Hell,210,Brauerei Grieskirchen AG,10,German Wheat Beer,10A,Weissbier,0,Stadtplatz 14,,Grieskirchen,,,Austria,43-0-72-48/607-0,,3644.5,3345.99,1854.84,4225.87,1193.07,3116.62,1975.55,4171.36,1574.92,995.97,644.49,4546.54
84,85,OSB Premium Ale,1272,Tomos Watkin and Sons Ltd.,22,,22B,Unclassified,4.5,"Unit 3, Century Park, Valley Way",,Swansea,Wales,,United Kingdom,44-(01792)-775333,,505.49,657.87,197.82,31.15,481.08,452.76,281.84,1105.17,398.12,869.28,880.29,568.45
85,86,Morocco Ale,425,Daleside Brewery,22,,22B,Unclassified,5.5,Camwal Road,,Harrogate,North Yorkshire,,United Kingdom,44-(01423)-880022,,243.72,131.11,287.72,85.58,139.55,252.8,164.82,365.43,359.03,101.5,199.26,63.39
86,87,Glacier Ale,1047,Red Lodge Ales,19,Amber and Brown American Beer,19A,American Amber Ale,0,417 North Broadway,,Red Lodge,Montana,59068,United States,1-406-446-4607,,543.51,666.83,390.84,846.72,885.35,583.11,30.77,256.76,630.9,630.75,491,774.44
87,88,Bent Nail IPA,1047,Red Lodge Ales,21,IPA,21A,American IPA,0,417 North Broadway,,Red Lodge,Montana,59068,United States,1-406-446-4607,,34.81,46.63,410.5,105.78,213.88,448.72,122.29,65.08,642.11,150.53,592.03,334.51
88,89,Espresso Porter,879,Montana Brewing,13,Brown British Beer,13C,English Porter,0,113 North Broadway,,Billings,Montana,59101,United States,1-406-252-9200,,164.31,505.14,201.86,130.85,745.39,593.04,696.87,266.96,873.64,15.81,707.68,382.15
89,90,Harvest Ale,879,Montana Brewing,18,Pale American Ale,18B,American Pale Ale,0,113 North Broadway,,Billings,Montana,59101,United States,1-406-252-9200,,514.04,657.13,170.48,471.02,9.52,745.96,143.22,344.45,601.2,87.9,884.08,925.36
90,91,Stillwater Rye,879,Montana Brewing,22,,22B,Unclassified,0,113 North Broadway,,Billings,Montana,59101,United States,1-406-252-9200,,90.45,260.25,89.02,198.16,201.72,70.91,207.19,87.17,274.02,73.31,219.84,106.02
91,92,Sharptail Pale Ale,879,Montana Brewing,18,Pale American Ale,18B,American Pale Ale,0,113 North Broadway,,Billings,Montana,59101,United States,1-406-252-9200,,345.21,350.65,1187.35,521.69,1046.15,660.21,635.85,1102.69,1297.53,340.34,923.76,1439.18
92,93,Fat Belly Amber,879,Montana Brewing,19,Amber and Brown American Beer,19A,American Amber Ale,0,113 North Broadway,,Billings,Montana,59101,United States,1-406-252-9200,,672.63,19.15,653.19,810.71,447.41,606.29,829.29,290.33,809.14,774.46,953.41,1009.03
